Category,Exercise,Difficulty,Duration Type,Description
Full Body,Half burpees — arm reach,All Levels,Reps,"From standing, squat down, place your hands on the floor, step or jump back to plank, then return to stand."
Full Body,Half burpees — knee drive focus,All Levels,Reps,"From standing, squat down, place your hands on the floor, step or jump back to plank, then return to stand."
Full Body,Burpees (no push-up),All Levels,Reps,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Burpees (no push-up) — low impact,All Levels,Reps,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Burpees (no push-up) — arm reach,All Levels,Reps,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Burpees (no push-up) — knee drive focus,All Levels,Reps,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Burpees (with push-up),All Levels,Reps,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Burpees (with push-up) — low impact,All Levels,Reps,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Burpees (with push-up) — arm reach,All Levels,Reps,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Burpees (with push-up) — knee drive focus,All Levels,Reps,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Mountain climbers,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Mountain climbers — low impact,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Mountain climbers — arm reach,All Levels,Reps,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Mountain climbers — knee drive focus,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Cross-body mountain climbers,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Cross-body mountain climbers — low impact,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Cross-body mountain climbers — arm reach,All Levels,Reps,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Cross-body mountain climbers — knee drive focus,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Slow mountain climbers,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Slow mountain climbers — low impact,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Slow mountain climbers — arm reach,All Levels,Reps,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Slow mountain climbers — knee drive focus,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Inchworms,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Inchworms — low impact,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Inchworms — arm reach,All Levels,Reps,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Inchworms — knee drive focus,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Plank walkouts,All Levels,minutes,"Keep your elbows under shoulders and body in a straight line, squeezing your glutes and bracing your core."
Full Body,Plank walkouts — low impact,All Levels,minutes,"Keep your elbows under shoulders and body in a straight line, squeezing your glutes and bracing your core."
Full Body,Plank walkouts — arm reach,All Levels,minutes,"Keep your elbows under shoulders and body in a straight line, squeezing your glutes and bracing your core."
Full Body,Plank walkouts — knee drive focus,All Levels,minutes,"Keep your elbows under shoulders and body in a straight line, squeezing your glutes and bracing your core."
Full Body,Bear crawls,All Levels,minutes,"Keep your core tight and move opposite hand and foot together, maintaining smooth, controlled motion."
Full Body,Bear crawls — low impact,All Levels,minutes,"Keep your core tight and move opposite hand and foot together, maintaining smooth, controlled motion."
Full Body,Bear crawls — arm reach,All Levels,minutes,"Keep your core tight and move opposite hand and foot together, maintaining smooth, controlled motion."
Full Body,Bear crawls — knee drive focus,All Levels,minutes,"Keep your core tight and move opposite hand and foot together, maintaining smooth, controlled motion."
Full Body,Crab walks,All Levels,minutes,"Keep your core tight and move opposite hand and foot together, maintaining smooth, controlled motion."
Full Body,Crab walks — low impact,All Levels,minutes,"Keep your core tight and move opposite hand and foot together, maintaining smooth, controlled motion."
Full Body,Crab walks — arm reach,All Levels,minutes,"Keep your core tight and move opposite hand and foot together, maintaining smooth, controlled motion."
Full Body,Crab walks — knee drive focus,All Levels,minutes,"Keep your core tight and move opposite hand and foot together, maintaining smooth, controlled motion."
Full Body,Skater hops,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Skater hops — low impact,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Skater hops — arm reach,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Skater hops — knee drive focus,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Lateral shuffles,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Lateral shuffles — low impact,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Lateral shuffles — arm reach,All Levels,minutes,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Lateral shuffles — knee drive focus,All Levels,minutes,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,High knees,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,High knees — low impact,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,High knees — arm reach,All Levels,minutes,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,High knees — knee drive focus,All Levels,minutes,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Marching in place,All Levels,minutes,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Marching in place — low impact,All Levels,minutes,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Marching in place — arm reach,All Levels,minutes,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Marching in place — knee drive focus,All Levels,minutes,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Running in place,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Running in place — low impact,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Running in place — arm reach,All Levels,minutes,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Running in place — knee drive focus,All Levels,minutes,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Broad jumps,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Broad jumps — low impact,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Broad jumps — arm reach,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Broad jumps — knee drive focus,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Hop side-to-side,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Hop side-to-side — low impact,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Hop side-to-side — arm reach,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Hop side-to-side — knee drive focus,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Frog jumps,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Frog jumps — low impact,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Frog jumps — arm reach,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Frog jumps — knee drive focus,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Squat to reach overhead,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Full Body,Squat to reach overhead — low impact,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Full Body,Squat to reach overhead — arm reach,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Full Body,Squat to reach overhead — knee drive focus,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Full Body,Squat to tiptoe reach,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Full Body,Squat to tiptoe reach — low impact,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Full Body,Squat to tiptoe reach — arm reach,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Full Body,Squat to tiptoe reach — knee drive focus,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Full Body,Alternating step-back lunges,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Full Body,Alternating step-back lunges — low impact,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Full Body,Alternating step-back lunges — arm reach,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Full Body,Alternating step-back lunges — knee drive focus,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Full Body,Jumping lunges (low-impact alt: step-back lunge),All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Full Body,Jumping lunges (low-impact alt: step-back lunge) — low impact,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Full Body,Jumping lunges (low-impact alt: step-back lunge) — arm reach,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Full Body,Jumping lunges (low-impact alt: step-back lunge) — knee drive focus,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Full Body,Fast feet shuffle,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Fast feet shuffle — low impact,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Fast feet shuffle — arm reach,All Levels,minutes,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Fast feet shuffle — knee drive focus,All Levels,minutes,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Toe taps to floor,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Toe taps to floor — low impact,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Toe taps to floor — arm reach,All Levels,Reps,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Toe taps to floor — knee drive focus,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Knee drives from standing,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Knee drives from standing — low impact,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Knee drives from standing — arm reach,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Knee drives from standing — knee drive focus,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Step and reach (opposite hand to toe),All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Step and reach (opposite hand to toe) — low impact,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Step and reach (opposite hand to toe) — arm reach,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Step and reach (opposite hand to toe) — knee drive focus,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Standing knee-to-elbow cross crunches,All Levels,Reps,"Lie on your back with knees bent, curl your shoulders off the floor by tightening your abs, then lower slowly."
Full Body,Standing knee-to-elbow cross crunches — low impact,All Levels,Reps,"Lie on your back with knees bent, curl your shoulders off the floor by tightening your abs, then lower slowly."
Full Body,Standing knee-to-elbow cross crunches — arm reach,All Levels,Reps,"Lie on your back with knees bent, curl your shoulders off the floor by tightening your abs, then lower slowly."
Full Body,Standing knee-to-elbow cross crunches — knee drive focus,All Levels,Reps,"Lie on your back with knees bent, curl your shoulders off the floor by tightening your abs, then lower slowly."
Full Body,Total-body extensions,All Levels,Reps,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Total-body extensions — low impact,All Levels,Reps,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Total-body extensions — arm reach,All Levels,Reps,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Total-body extensions — knee drive focus,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Walkout to knee push-up,All Levels,minutes,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Walkout to knee push-up — low impact,All Levels,minutes,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Walkout to knee push-up — arm reach,All Levels,minutes,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Walkout to knee push-up — knee drive focus,All Levels,minutes,"Place your hands under your shoulders, lower your chest toward the floor while keeping your body straight, then push back up."
Full Body,Walkout to plank hold,All Levels,minutes,"Keep your elbows under shoulders and body in a straight line, squeezing your glutes and bracing your core."
Full Body,Walkout to plank hold — low impact,All Levels,minutes,"Keep your elbows under shoulders and body in a straight line, squeezing your glutes and bracing your core."
Full Body,Walkout to plank hold — arm reach,All Levels,minutes,"Keep your elbows under shoulders and body in a straight line, squeezing your glutes and bracing your core."
Full Body,Walkout to plank hold — knee drive focus,All Levels,minutes,"Keep your elbows under shoulders and body in a straight line, squeezing your glutes and bracing your core."
Full Body,Burpee to step-in (beginner),All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Burpee to step-in (beginner) — low impact,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Burpee to step-in (beginner) — arm reach,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Burpee to step-in (beginner) — knee drive focus,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Shadow boxing,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Shadow boxing — low impact,All Levels,minutes,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Shadow boxing — arm reach,All Levels,minutes,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Shadow boxing — knee drive focus,All Levels,minutes,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Invisible jump rope,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Invisible jump rope — low impact,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Invisible jump rope — arm reach,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Invisible jump rope — knee drive focus,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Boxer bounce,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Boxer bounce — low impact,All Levels,Reps,"Coordinate your upper and lower body, keeping your movements smooth and posture upright."
Full Body,Boxer bounce — arm reach,All Levels,Reps,"Extend your limbs fully, keeping your posture tall and your movements smooth."
Full Body,Boxer bounce — knee drive focus,All Levels,Reps,"Lift your knees high with rhythm, keeping your chest tall and engaging your core."
Full Body,Grapevine step,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Grapevine step — low impact,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Grapevine step — arm reach,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Grapevine step — knee drive focus,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Carioca step,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Carioca step — low impact,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Carioca step — arm reach,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Carioca step — knee drive focus,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Bodyweight squats,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bodyweight squats — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bodyweight squats — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bodyweight squats — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bodyweight squats — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bodyweight squats — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bodyweight squats — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bodyweight squats — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bodyweight squats — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bodyweight squats — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Narrow-stance squats — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Sumo squats — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Quarter squats — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Half squats — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Deep squats (as mobility allows),All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Deep squats (as mobility allows) — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Deep squats (as mobility allows) — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Deep squats (as mobility allows) — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Deep squats (as mobility allows) — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Deep squats (as mobility allows) — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
